	AAAA	AAA	AA	A	BB	B
25 Y Free						
50 Y Free	25.49	26.59	27.79	28.99 	31.29	33.59 
100 Y Free	55.19	57.79	1:00.49	1:03.09	1:08.29	1:13.59
200 Y Free	2:00.29	2:05.99	2:11.79	2:17.49	2:28.99	2:40.39
500 Y Free	5:21.59	5:36.89	5:52.19	6:07.59	6:38.19	7:08.79 
1000 Y Free	11:06.09	11:37.79	12:09.49	12:41.19	13:44.69	14:48.09
1650 Y Free	18:40.49	19:33.89	20:27.19	21:20.59	23:07.29	24:53.99
25 Y Back						
50 Y Back	28.59 	29.99 	31.29	32.69	35.39 	38.09 
100 Y Back	1:01.39	1:04.69 	1:08.09	1:11.39	1:18.09	1:24.79 
200 Y Back	2:12.49	2:18.79	2:25.09	2:31.39	2:43.99	2:56.59
25 Y Breast						
50 Y Breast	32.29	33.79 	35.39	36.89	39.99	42.99
100 Y Breast	1:09.79 	1:13.19	1:16.69 	1:20.19	1:27.19	1:34.09 
200 Y Breast	2:30.69 	2:37.89	2:45.09	2:52.19	3:06.59	3:20.89
25 Y Fly						
50 Y Fly	27.39	28.69	29.99 	31.29	33.89	36.49
100 Y Fly	1:00.79	1:04.19	1:07.49	1:10.89	1:17.59	1:24.39
200 Y Fly	2:14.99	2:21.39	2:27.89	2:34.29	2:47.19	2:59.99
100 Y IM	1:03.09 	1:06.09	1:09.09 	1:12.09 	1:18.09 	1:24.09 
200 Y IM	2:15.19	2:21.59	2:27.99	2:34.49	2:47.29	3:00.19
400 Y IM	4:48.19	5:01.89	5:15.59	5:29.29	5:56.79	6:24.19
50 M Free	29.09	30.39	31.69 	32.99	35.69	38.39
100 M Free	1:03.09 	1:06.09 	1:09.09 	1:12.09 	1:18.09	1:24.09
200 M Free	2:16.69	2:23.19	2:29.69	2:36.19	2:49.19	3:02.29
400 M Free	4:47.99	5:01.69	5:15.39	5:29.09	5:56.49	6:23.89
800 M Free	10:03.09 	10:31.79 	11:00.59 	11:29.29 	12:26.69 	13:24.09
1500 M Free	19:19.39	20:14.59	21:09.79	22:04.99	23:55.39	25:45.79
50 M Back	32.99	34.49	36.09 	37.69 	40.79 	43.99 
100 M Back	1:11.49	1:15.39	1:19.29	1:23.19 	1:30.99 	1:38.69
200 M Back	2:33.39 	2:40.69	2:47.99	2:55.29	3:09.89	3:24.49
50 M Breast	36.69	38.49	40.19	41.99	45.49	48.99
100 M Breast	1:20.79	1:24.79 	1:28.79 	1:32.79	1:40.89  	1:48.89 
200 M Breast	2:54.49	3:02.79	3:11.09	3:19.39	3:35.99	3:52.59
50 M Fly	30.99	32.39	33.89	35.39	38.29	41.29
100 M Fly	1:09.29	1:13.09 	1:16.99	1:20.79	1:28.49	1:36.19
200 M Fly	2:33.69	2:40.99	2:48.29	2:55.59	3:10.19	3:24.89
200 M IM	2:34.59	2:41.89	2:49.29	2:56.59	3:11.39	3:26.09
400 M IM	5:29.79	5:45.49	6:01.19	6:16.89	6:48.29	7:19.69